excluded_market_id,topic,attempt,candidate_market_id,question,original_slot_month,candidate_month,original_random_rank,decision,reason,detail,related_selected_market_id
519081,Politics,1,617309,Paul Finebaum announces Alabama Senate run by December 31?,2025-12,2025-12,206,skip,unscheduled_announcement,"Senate-run announcement by deadline, not an election outcome.",
519081,Politics,2,739846,Will Cătălin Drulă get between 10% and 15% of the vote in the Bucharest Mayoral election?,2025-12,2025-12,218,skip,related_event_already_selected,Bucharest mayoral election already represented.,799377
519081,Politics,3,693255,Will Franco Parisi endorse José Antonio Kast for President of Chile?,2025-12,2025-12,230,skip,unscheduled_endorsement,"Endorsement announcement, not an election result.",
519081,Politics,4,562257,Romania Parliamentary Election called in 2025?,2025-12,2025-12,242,skip,unscheduled_announcement,"Date announcement by deadline, not election outcome.",
519081,Politics,5,530829,Mark Carney out as leader of Liberals in 2025?,2025-12,2025-12,254,skip,unscheduled_office_exit,"Party-leadership exit by deadline, not election outcome.",
519081,Politics,6,586028,Will Vincent Dixie win TN-7 Special Election?,2025-12,2025-12,266,skip,outcome_determined_before_general_election_cutoff,Vincent Dixie lost October 7 primary before December 2 general election. Source: https://rollcall.com/2025/10/07/tennessee-special-election-van-epps-trump/,
519081,Politics,7,704810,Will Ciucu win by 3-6%?,2025-12,2025-12,276,skip,related_event_already_selected,Bucharest mayoral election already represented.,799377
519081,Politics,8,654261,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-12,2025-11,209,skip,related_event_already_selected,NYC mayoral general election already represented.,589087
519081,Politics,9,668100,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-12,2025-11,221,skip,related_event_already_selected,Avoid adding a contract from Honduras presidential-election family while related annulment contract remains in active cohort pending scope review.,902938
519081,Politics,10,670075,Will Franco Parisi come in fourth in the 1st round of the 2025 Chilean presidential election?,2025-12,2025-11,233,skip,related_event_already_selected,Chile presidential first round already represented.,668396
519081,Politics,11,588784,Will Sliwa or Adams get more votes?,2025-12,2025-11,245,skip,related_event_already_selected,NYC mayoral general election already represented.,589087
519081,Politics,12,566989,Will DeWayne Davis win the 2025 Minneapolis mayoral election?,2025-12,2025-11,257,accept,scheduled_election_outcome,Mayor winner contract with candidate on ballot. Ranked-choice count rounds are not separate voting rounds.,
654410,Economics,1,516725,Will 2 Fed rate cuts happen in 2025?,2025-11,2025-12,206,skip,cumulative_window_outcome,Counts Fed cuts across the year and can resolve early; not a single meeting decision.,
654410,Economics,2,581752,Will Trump announce Stephen Miran to replace Lisa Cook?,2025-11,2025-12,214,skip,unscheduled_nomination,"Fed-board nominee announcement during a window, not scheduled macroeconomic outcome.",
654410,Economics,3,570360,Fed decreases interest rates by 50+ bps after December 2025 meeting?,2025-11,2025-12,220,skip,related_event_already_selected,December FOMC meeting already represented by dissent-count contract.,655667
654410,Economics,4,691922,Will Canada's annual inflation increase by 2.2% in November?,2025-11,2025-12,226,accept,scheduled_macro_release,"Canadian year-over-year CPI for November 2025, published December 15; first release statistic, not subsequent revision.",
525019,Politics,1,617309,Paul Finebaum announces Alabama Senate run by December 31?,2025-12,2025-12,206,skip,unscheduled_announcement,"Senate-run announcement by deadline, not an election outcome.",
525019,Politics,2,739846,Will Cătălin Drulă get between 10% and 15% of the vote in the Bucharest Mayoral election?,2025-12,2025-12,218,skip,related_event_already_selected,Bucharest mayoral election already represented.,799377
525019,Politics,3,693255,Will Franco Parisi endorse José Antonio Kast for President of Chile?,2025-12,2025-12,230,skip,unscheduled_endorsement,"Endorsement announcement, not an election result.",
525019,Politics,4,562257,Romania Parliamentary Election called in 2025?,2025-12,2025-12,242,skip,unscheduled_announcement,"Date announcement by deadline, not election outcome.",
525019,Politics,5,530829,Mark Carney out as leader of Liberals in 2025?,2025-12,2025-12,254,skip,unscheduled_office_exit,"Party-leadership exit by deadline, not election outcome.",
525019,Politics,6,586028,Will Vincent Dixie win TN-7 Special Election?,2025-12,2025-12,266,skip,outcome_determined_before_general_election_cutoff,Vincent Dixie lost October 7 primary before December 2 general election. Source: https://rollcall.com/2025/10/07/tennessee-special-election-van-epps-trump/,
525019,Politics,7,704810,Will Ciucu win by 3-6%?,2025-12,2025-12,276,skip,related_event_already_selected,Bucharest mayoral election already represented.,799377
525019,Politics,8,654261,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-12,2025-11,209,skip,related_event_already_selected,NYC mayoral general election already represented.,589087
525019,Politics,9,668100,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-12,2025-11,221,skip,related_event_already_selected,Avoid adding a contract from Honduras presidential-election family while related annulment contract remains in active cohort pending scope review.,902938
525019,Politics,10,670075,Will Franco Parisi come in fourth in the 1st round of the 2025 Chilean presidential election?,2025-12,2025-11,233,skip,related_event_already_selected,Chile presidential first round already represented.,668396
525019,Politics,11,588784,Will Sliwa or Adams get more votes?,2025-12,2025-11,245,skip,related_event_already_selected,NYC mayoral general election already represented.,589087
525019,Politics,12,566989,Will DeWayne Davis win the 2025 Minneapolis mayoral election?,2025-12,2025-11,257,skip,already_selected_replacement,Already used for excluded market 519081; cannot use the same contract twice.,566989
525019,Politics,13,666470,Will Cambio por Chile gain the most seats in the Senate election?,2025-12,2025-11,268,skip,related_national_election_family,"Conservative family rule: concurrent November 16 Chile parliamentary and presidential elections share the national election family already represented by 668396. This is a dependence exclusion, not a claim that Senate and presidential outcomes are identical.",668396
525019,Politics,14,666146,Will Jeannette Jara win between 20% and 24% of votes in the first round?,2025-12,2025-11,278,skip,related_event_already_selected,Same November 16 Chilean presidential first round as selected 668396.,668396
525019,Politics,15,567138,Will Katie Wilson win the 2025 Seattle mayoral election?,2025-12,2025-11,287,accept,scheduled_election_outcome,"November general-election mayor winner; no Seattle mayor family in active sample. Mail voting means cutoff is during voting, not before all voting.",
