excluded_market_id,candidate_market_id,topic,candidate_question,original_slot_month,candidate_month,original_random_rank,decision,reason
2662263,2822304,Politics,Will Katherine Haley be the Arizona State Treasurer Republican nominee?,2026-07,2026-07,207,skip_already_selected,Retained or allocated to an earlier slot.
2662263,2773375,Politics,Will Mark Rhoades Buckton win the 2026 Norfolk Police and Crime Commissioner by-election?,2026-07,2026-07,219,skip_already_selected,Retained or allocated to an earlier slot.
2662263,2472064,Politics,Will Spencer Pratt concede by July 2?,2026-07,2026-07,231,skip_scope,"Concession statement deadline, not a public vote outcome."
2662263,822239,Politics,Will Karrin Taylor Robson win the 2026 Arizona Governor Republican primary election?,2026-07,2026-07,243,skip_prior_determination,"Taylor Robson suspended campaign February 12, before July 21 primary forecast."
2662263,2685007,Politics,Will Democratic National Rally (RND) win the most seats in the 2026 Algerian parliamentary elections?,2026-07,2026-07,255,skip_already_selected,Retained or allocated to an earlier slot.
2662263,2790017,Politics,Will Bev Craig win the 2026 Greater Manchester mayoral election by 10–15%?,2026-07,2026-07,267,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
2662263,2683662,Politics,Will Dan Barker win the greatest number of valid first preference votes in the 2026 Greater Manchester Mayoral Election?,2026-07,2026-07,277,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
2662263,2760926,Politics,Will Brian Hualde be the AZ-05 Democratic nominee?,2026-07,2026-07,286,scope_eligible_timing_pending,Scheduled July 21 AZ-05 Democratic primary; full rules match scope. No retained AZ-05 family. Verify participation and timing.
586057,578064,Politics,"Will Jorge ""Tuto"" Quiroga win by 10–15%?",2025-10,2025-10,205,scope_eligible_timing_pending,Explicit October 19 Bolivia runoff margin contract. Removing Saravia 543268 leaves no retained Bolivia presidential family; prior related-family skip is stale. Exact final overseas close and outcome verification pending.
799364,3191744,Politics,Kazakhstan Kurultai Election: Adilet Wins Majority?,2026-08,2026-08,211,skip_already_selected,Retained or allocated to an earlier slot.
799364,2822730,Politics,Will Salaam Bhatti be the VA-01 Democratic nominee?,2026-08,2026-08,223,skip_already_selected,Retained or allocated to an earlier slot.
799364,3006525,Politics,Will Haley Stevens win Washtenaw County in the Michigan Senate Democratic primary?,2026-08,2026-08,235,scope_eligible_timing_pending,"Scheduled August 4 Democratic Senate primary, Washtenaw County vote winner. No retained Michigan Senate family. Participation, county outcome and final scheduled close require verification."
567091,654261,Politics,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-11,2025-11,209,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,668100,Politics,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-11,2025-11,221,skip_already_selected,Retained or allocated to an earlier slot.
567091,670075,Politics,Will Franco Parisi come in fourth in the 1st round of the 2025 Chilean presidential election?,2025-11,2025-11,233,skip_already_selected,Retained or allocated to an earlier slot.
567091,588784,Politics,Will Sliwa or Adams get more votes?,2025-11,2025-11,245,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,566989,Politics,Will DeWayne Davis win the 2025 Minneapolis mayoral election?,2025-11,2025-11,257,skip_already_selected,Retained or allocated to an earlier slot.
567091,666470,Politics,Will Cambio por Chile gain the most seats in the Senate election?,2025-11,2025-11,268,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,666146,Politics,Will Jeannette Jara win between 20% and 24% of votes in the first round?,2025-11,2025-11,278,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,567138,Politics,Will Katie Wilson win the 2025 Seattle mayoral election?,2025-11,2025-11,287,skip_already_selected,Retained or allocated to an earlier slot.
567091,571950,Politics,Will any presidential candidate win outright in the first round of the Chile's election?,2025-11,2025-11,296,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,555813,Politics,Will Abigail Spanberger win the Virginia Governor Election in 2025,2025-11,2025-11,305,skip_already_selected,Retained or allocated to an earlier slot.
567091,541622,Politics,Will José Antonio Kast win the Chilean presidential election?,2025-11,2025-11,313,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,567121,Politics,Will Ed Flynn win the 2025 Boston mayoral election?,2025-11,2025-11,321,skip_prior_determination,"Ed Flynn declined the Boston mayoral race in January 2025, before the forecast; no longer an uncertain candidacy for this design."
567091,563789,Politics,Will Zohran Mamdani win 3 boroughs in the 2025 New York City Mayoral General Election?,2025-11,2025-11,329,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,567009,Politics,Will Eileen Higgins win the 2025 Miami mayoral election?,2025-11,2025-11,337,skip_already_selected,Retained or allocated to an earlier slot.
567091,666199,Politics,Will Johannes Kaiser win between 10% and 13% of votes in the first round?,2025-11,2025-11,344,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,666455,Politics,Will Izquierda Ecologista Popular Animalista y Humanista hold the most seats in the Chamber of Deputies?,2025-11,2025-11,351,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,654457,Politics,Will the Associated Press first call the 2025 New Jersey governor election before 8:00 PM ET on Nov 4 2025?,2025-11,2025-11,358,skip_scope,"Timing of a news organization call, not the election outcome."
567091,608442,Politics,Which party wins Virginia House of Delegates?,2025-11,2025-11,365,skip_related_family,Family already retained or allocated in this batch.
567091,593161,Politics,Will Mikie Sherrill win by 9-12%?,2025-11,2025-11,372,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,538928,Politics,Will Eric Adams win the 2025 NYC mayoral election?,2025-11,2025-11,379,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,626729,Politics,Will voter turnout in the next New York City mayoral election be between 24–27%?,2025-11,2025-11,386,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,558107,Politics,Will Mamdani get over 50% of the vote in the general mayoral election?,2025-11,2025-11,393,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,567230,Politics,Will LaVerne Gore win the 2025 Cleveland mayoral election?,2025-11,2025-11,400,skip_already_selected,Retained or allocated to an earlier slot.
567091,667039,Politics,Will Michelle Bachelet come in second in the 1st round of the 2025 Chilean presidential election?,2025-11,2025-11,407,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,681513,Politics,Will turnout in the first round of the 2025 Chilean presidential election be between 75% and 78%?,2025-11,2025-11,414,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,567184,Politics,Will Andre Dickens win the 2025 Atlanta mayoral election?,2025-11,2025-11,421,skip_already_selected,Retained or allocated to an earlier slot.
567091,666205,Politics,Will Jeannette Jara and Johannes Kaiser advance to the runoff?,2025-11,2025-11,428,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
567091,666167,Politics,Will José Antonio Kast win between 24% and 28% of votes in the first round?,2025-11,2025-11,435,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
