excluded_market_id,candidate_market_id,topic,candidate_question,original_slot_month,candidate_month,original_random_rank,decision,reason
580661,590309,Sports,Texas A&M vs. Notre Dame,2025-09,2025-09,206,scope_eligible_timing_pending,Specific scheduled football match; September 13 lies within the study window.
826181,1864344,Politics,Will Iain Black win the 2026 Conservative Party of British Columbia leadership election?,2026-05,2026-05,210,skip_scope,Internal party leadership election; public electoral contests only.
826181,969727,Politics,Will Jamie Davis Jr. be the Democratic nominee for Senate in Louisiana?,2026-05,2026-05,222,skip_already_selected,Retained or allocated to an earlier slot.
826181,1849834,Politics,Will the Conservative Party win at least 400 council seat elections in the 2026 United Kingdom local elections?,2026-05,2026-05,234,scope_eligible_timing_pending,Council seat total from scheduled public local elections; council categories and May 7/rescheduled-within-seven-days eligibility explicitly defined. Exact aggregate boundary remains to verify.
1429620,1245519,Politics,Will Partido Popular win 31-33 seats in the 2026 Aragon regional election?,2026-02,2026-02,202,skip_related_family,Aragon legislative election already retained as 1228027.
1429620,1271816,Politics,Will Palang Pracharath Party (PPRP) finish in third place by number of seats in the 2026 Thai legislative election?,2026-02,2026-02,214,skip_already_selected,Retained or allocated to an earlier slot.
1429620,1230679,Politics,Will the Liberal Democratic Party win the second-most seats in the 2026 Japanese general election?,2026-02,2026-02,226,skip_related_family,Japan parliamentary election already retained as 1230748 and others.
1429620,670208,Politics,Will AY win the most seats in the 2026 Costa Rican Legislative Assembly election?,2026-02,2026-02,238,skip_related_family,Costa Rica general election family already retained as 676453 and others.
1429620,1336374,Politics,Will the Liberal Democratic Party win between 280 and 294 seats in the 2026 Japanese snap general election?,2026-02,2026-02,250,skip_related_family,Japan parliamentary election already retained as 1230748 and others.
1429620,1353128,Politics,Will the Bangladesh Jamaat-e-Islami (BJI) win between 70 and 99 seats in the Bangladesh parliamentary election?,2026-02,2026-02,262,skip_related_family,Bangladesh parliamentary election already retained as 1353145.
1429620,1271757,Politics,Will Democrat Party (DP) finish in second place by number of seats in the 2026 Thai legislative election?,2026-02,2026-02,272,skip_related_family,Family already retained or allocated in this batch.
1429620,706054,Politics,Will Tyler Paul Smith win the GA-14 special election?,2026-02,2026-02,282,skip_already_selected,Retained or allocated to an earlier slot.
1429620,1231067,Politics,Will turnout in the 2026 Japanese snap election be below 50%?,2026-02,2026-02,291,skip_related_family,Japan parliamentary election already retained as 1230748 and others.
1429620,1272509,Politics,Will the People’s Party (PPLE) win between 135 and 149 seats in the 2026 Thai legislative election?,2026-02,2026-02,300,skip_related_family,Family already retained or allocated in this batch.
1429620,813511,Politics,Will FA win the second most seats in the 2026 Costa Rican Legislative Assembly election?,2026-02,2026-02,309,skip_related_family,Costa Rica general election family already retained as 676453 and others.
1429620,1230482,Politics,Will the Conservative Party of Japan loose any seats in Japanese snap election?,2026-02,2026-02,317,skip_related_family,Japan parliamentary election already retained as 1230748 and others.
1429620,1272536,Politics,Will the Bhumjaithai Party (BJT) win between 120 and 129 seats in the 2026 Thai legislative election?,2026-02,2026-02,325,skip_related_family,Family already retained or allocated in this batch.
1429620,1336956,Politics,Will Shafiqur Rahman be the next Prime Minister of Bangladesh after the Parliamentary election?,2026-02,2026-02,333,skip_scope,"Post-election appointment/coalition formation, not public electoral result."
1429620,1253235,Politics,Will any presidential candidate win outright in the first round of Costa Rica's presidential election?,2026-02,2026-02,341,skip_related_family,Costa Rica general election already retained as 676453.
1429620,1429452,Politics,Will Angeliki Stogia - Labour finish second in the Gorton and Denton by-election?,2026-02,2026-02,348,scope_eligible_timing_pending,Public by-election second-place outcome. Official February 3 nomination list confirms Angeliki Stogia as Labour candidate. The old two family members are removed in this batch.
529246,617309,Politics,Paul Finebaum announces Alabama Senate run by December 31?,2025-12,2025-12,206,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
529246,739846,Politics,Will Cătălin Drulă get between 10% and 15% of the vote in the Bucharest Mayoral election?,2025-12,2025-12,218,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
529246,693255,Politics,Will Franco Parisi endorse José Antonio Kast for President of Chile?,2025-12,2025-12,230,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
529246,562257,Politics,Romania Parliamentary Election called in 2025?,2025-12,2025-12,242,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
529246,530829,Politics,Mark Carney out as leader of Liberals in 2025?,2025-12,2025-12,254,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
529246,586028,Politics,Will Vincent Dixie win TN-7 Special Election?,2025-12,2025-12,266,skip_related_family,Same TN07 general special election as retained 695312.
529246,704810,Politics,Will Ciucu win by 3-6%?,2025-12,2025-12,276,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
529246,654261,Politics,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-12,2025-11,209,skip_related_family,Same NYC 2025 mayoral election as retained 563772 and others.
529246,668100,Politics,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-12,2025-11,221,skip_already_selected,Retained or allocated to an earlier slot.
529246,670075,Politics,Will Franco Parisi come in fourth in the 1st round of the 2025 Chilean presidential election?,2025-12,2025-11,233,scope_eligible_timing_pending,Public presidential first-round fourth-place outcome. SERVEL final ballot includes Franco Parisi. Prior Toha contract removed in this batch.
668396,654261,Politics,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-11,2025-11,209,skip_related_family,Same NYC 2025 mayoral election as retained 563772 and others.
668396,668100,Politics,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-11,2025-11,221,skip_already_selected,Retained or allocated to an earlier slot.
668396,670075,Politics,Will Franco Parisi come in fourth in the 1st round of the 2025 Chilean presidential election?,2025-11,2025-11,233,skip_already_selected,Retained or allocated to an earlier slot.
668396,588784,Politics,Will Sliwa or Adams get more votes?,2025-11,2025-11,245,skip_related_family,Same NYC 2025 mayoral election as retained 563772 and others.
668396,566989,Politics,Will DeWayne Davis win the 2025 Minneapolis mayoral election?,2025-11,2025-11,257,skip_already_selected,Retained or allocated to an earlier slot.
668396,666470,Politics,Will Cambio por Chile gain the most seats in the Senate election?,2025-11,2025-11,268,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
668396,666146,Politics,Will Jeannette Jara win between 20% and 24% of votes in the first round?,2025-11,2025-11,278,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
668396,567138,Politics,Will Katie Wilson win the 2025 Seattle mayoral election?,2025-11,2025-11,287,skip_already_selected,Retained or allocated to an earlier slot.
668396,571950,Politics,Will any presidential candidate win outright in the first round of the Chile's election?,2025-11,2025-11,296,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
668396,555813,Politics,Will Abigail Spanberger win the Virginia Governor Election in 2025,2025-11,2025-11,305,skip_already_selected,Retained or allocated to an earlier slot.
668396,541622,Politics,Will José Antonio Kast win the Chilean presidential election?,2025-11,2025-11,313,skip_related_family,Same family as a retained or earlier allocated candidate in this replay.
