slot_market_id,topic,slot_month,candidate_market_id,candidate_month,original_random_rank,decision,reason
563772,Politics,2025-11,654261,2025-11,209,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,668100,2025-11,221,already_retained,Already represents a retained family.
563772,Politics,2025-11,670075,2025-11,233,already_retained,Already represents a retained family.
563772,Politics,2025-11,588784,2025-11,245,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,566989,2025-11,257,already_retained,Already represents a retained family.
563772,Politics,2025-11,666470,2025-11,268,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,666146,2025-11,278,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,567138,2025-11,287,already_retained,Already represents a retained family.
563772,Politics,2025-11,571950,2025-11,296,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,555813,2025-11,305,already_retained,Already represents a retained family.
563772,Politics,2025-11,541622,2025-11,313,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,567121,2025-11,321,prior_review_rejection,"Ed Flynn declined the Boston mayoral race in January 2025, before the forecast; no longer an uncertain candidacy for this design."
563772,Politics,2025-11,563789,2025-11,329,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,567009,2025-11,337,already_retained,Already represents a retained family.
563772,Politics,2025-11,666199,2025-11,344,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,666455,2025-11,351,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,654457,2025-11,358,prior_review_rejection,"Timing of a news organization call, not the election outcome."
563772,Politics,2025-11,608442,2025-11,365,family_overlap,Reviewed family already represented.
563772,Politics,2025-11,593161,2025-11,372,accepted,"Full rules specify Sherrill's certified statewide margin over the runner-up in the November 4 New Jersey gubernatorial general election. The previously omitted Bramnick contract has no retained family representative; its candidate-specific uncertainty does not apply to Sherrill. Public election-result contract, new family."
1570168,Politics,2026-04,1570270,2026-04,212,family_overlap,Reviewed family already represented.
1570168,Politics,2026-04,1656592,2026-04,224,prior_review_rejection,Full rules specify Peru's April 12 presidential first round. The final evidence review of 947269 and 1665874 left the latest scheduled overseas poll close unresolved and the user approved omitting those records. This reserve inherits that same unresolved boundary; it is not a newly verified replacement or a proven scope exclusion.
1570168,Politics,2026-04,1004446,2026-04,236,already_retained,Already represents a retained family.
1570168,Politics,2026-04,1897466,2026-04,248,already_retained,Already represents a retained family.
1570168,Politics,2026-04,948039,2026-04,260,family_overlap,Reviewed family already represented.
1570168,Politics,2026-04,1666428,2026-04,271,family_overlap,Reviewed family already represented.
1570168,Politics,2026-04,1004377,2026-04,281,family_overlap,Reviewed family already represented.
1570168,Politics,2026-04,1738310,2026-04,290,family_overlap,Reviewed family already represented.
1570168,Politics,2026-04,1656081,2026-04,299,prior_review_rejection,"Full rules specify second-place finisher in Peru April 12 first round. Inherits the unresolved latest overseas poll-close evidence from omitted 947269 and 1665874, as does 1656592."
1570168,Politics,2026-04,1579023,2026-04,308,family_overlap,Reviewed family already represented.
