excluded_market_id,topic,candidate_market_id,candidate_question,original_slot_month,candidate_month,original_random_rank,decision,reason
590824,Politics,578064,"Will Jorge ""Tuto"" Quiroga win by 10–15%?",2025-10,2025-10,205,skip_related_family,Same 2025 Bolivia presidential election family as retained 543268 (different round; keep grouped).
590824,Politics,586581,Will PvdD be part of the next Government of the Netherlands?,2025-10,2025-10,217,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
590824,Politics,587437,Will Roberto Occhiuto win Calabria Regional Election?,2025-10,2025-10,229,scope_eligible_timing_pending,Saved full rules specify a public electoral contest. Participation and exact poll-close verification remain pending.
590979,Politics,578064,"Will Jorge ""Tuto"" Quiroga win by 10–15%?",2025-10,2025-10,205,skip_related_family,Same 2025 Bolivia presidential election family as retained 543268 (different round; keep grouped).
590979,Politics,586581,Will PvdD be part of the next Government of the Netherlands?,2025-10,2025-10,217,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
590979,Politics,587437,Will Roberto Occhiuto win Calabria Regional Election?,2025-10,2025-10,229,skip_already_selected,Already retained or allocated to an earlier slot.
590979,Politics,580912,ANO wins 33% or more of vote in Czech election?,2025-10,2025-10,241,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,580918,Pirates wins 10% or more of vote in Czech election?,2025-10,2025-10,253,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,648705,Netherlands Parliamentary Election: D66 vs VVD,2025-10,2025-10,265,skip_related_family,Same Netherlands 2025 parliamentary election as retained 641171 and others.
590979,Politics,648703,Will D66 win 20 or more seats in the 2025 Netherlands parliamentary election?,2025-10,2025-10,275,skip_related_family,Same Netherlands 2025 parliamentary election as retained 641171 and others.
590979,Politics,648697,Will VVD win 14–15 seats in the 2025 Netherlands parliamentary election?,2025-10,2025-10,285,skip_related_family,Same Netherlands 2025 parliamentary election as retained 641171 and others.
590979,Politics,580920,Will turnout be less than 60% in the Czech election?,2025-10,2025-10,294,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,648695,Will JA21 win 13 or more seats in the 2025 Netherlands parliamentary election?,2025-10,2025-10,303,skip_related_family,Same Netherlands 2025 parliamentary election as retained 641171 and others.
590979,Politics,580914,SPOLU wins 20% or more of vote in Czech election?,2025-10,2025-10,312,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,580869,Will Starostové get less than 7% of the vote in the Czech election?,2025-10,2025-10,320,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,580928,Will Karel Havlíček be the next Prime Minister of the Czech Republic after the elections?,2025-10,2025-10,328,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
590979,Politics,580916,SPD wins 14% or more of vote in Czech election?,2025-10,2025-10,336,skip_related_family,Same Czech 2025 parliamentary election as retained 530746 and others.
590979,Politics,545313,Will the Patriotic Electoral Bloc win the most seats in the 2025 Moldova parliamentary election?,2025-10,2025-09,201,scope_eligible_timing_pending,"Full saved rules reviewed: public electoral contest. Actual date, final poll close and candidate participation remain unverified."
1223572,Politics,1235514,Will Tô Lâm be the next President of Vietnam?,2026-01,2026-01,208,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
1223572,Politics,695679,Will José Cardoso qualify for the second round of the 2026 Portugal presidential election?,2026-01,2026-01,220,skip_related_family,Same Portugal 2026 presidential election as retained 1065660 and others.
1223572,Politics,1065687,Will João Cotrim de Figueiredo win less than 10% of votes in the first round?,2026-01,2026-01,232,skip_related_family,Same Portugal 2026 presidential election as retained 1065660 and others.
1223572,Politics,683281,Will Nathan James Nandala Mafabi win the 2026 Ugandan presidential election?,2026-01,2026-01,244,scope_eligible_timing_pending,Saved full rules specify a public electoral contest. Participation and exact poll-close verification remain pending.
537471,Politics,617309,Paul Finebaum announces Alabama Senate run by December 31?,2025-12,2025-12,206,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
537471,Politics,739846,Will Cătălin Drulă get between 10% and 15% of the vote in the Bucharest Mayoral election?,2025-12,2025-12,218,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
537471,Politics,693255,Will Franco Parisi endorse José Antonio Kast for President of Chile?,2025-12,2025-12,230,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
537471,Politics,562257,Romania Parliamentary Election called in 2025?,2025-12,2025-12,242,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
537471,Politics,530829,Mark Carney out as leader of Liberals in 2025?,2025-12,2025-12,254,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
537471,Politics,586028,Will Vincent Dixie win TN-7 Special Election?,2025-12,2025-12,266,skip_related_family,Same TN07 general special election as retained 695312.
537471,Politics,704810,Will Ciucu win by 3-6%?,2025-12,2025-12,276,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
537471,Politics,654261,Will Zohran Mamdani get between 55% and 60% of the vote in the 2025 NYC mayoral election?,2025-12,2025-11,209,skip_related_family,Same NYC 2025 mayoral election as retained 563772 and others.
537471,Politics,668100,Will Salvador Nasralla win the 2025 Honduras presidential election?,2025-12,2025-11,221,scope_eligible_timing_pending,Saved full rules specify a public electoral contest. Participation and exact poll-close verification remain pending.
903723,Politics,1235514,Will Tô Lâm be the next President of Vietnam?,2026-01,2026-01,208,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
903723,Politics,695679,Will José Cardoso qualify for the second round of the 2026 Portugal presidential election?,2026-01,2026-01,220,skip_related_family,Same Portugal 2026 presidential election as retained 1065660 and others.
903723,Politics,1065687,Will João Cotrim de Figueiredo win less than 10% of votes in the first round?,2026-01,2026-01,232,skip_related_family,Same Portugal 2026 presidential election as retained 1065660 and others.
903723,Politics,683281,Will Nathan James Nandala Mafabi win the 2026 Ugandan presidential election?,2026-01,2026-01,244,skip_already_selected,Already retained or allocated to an earlier slot.
903723,Politics,1065665,Will Henrique Gouveia e Melo win less than 12% of votes in the first round?,2026-01,2026-01,256,skip_related_family,Same Portugal 2026 presidential election as retained 1065660 and others.
903723,Politics,617309,Paul Finebaum announces Alabama Senate run by December 31?,2026-01,2025-12,206,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
903723,Politics,739846,Will Cătălin Drulă get between 10% and 15% of the vote in the Bucharest Mayoral election?,2026-01,2025-12,218,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
903723,Politics,693255,Will Franco Parisi endorse José Antonio Kast for President of Chile?,2026-01,2025-12,230,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
903723,Politics,562257,Romania Parliamentary Election called in 2025?,2026-01,2025-12,242,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
903723,Politics,530829,Mark Carney out as leader of Liberals in 2025?,2026-01,2025-12,254,skip_scope,"Government formation, appointment, endorsement, announcement or departure; not a public electoral outcome."
903723,Politics,586028,Will Vincent Dixie win TN-7 Special Election?,2026-01,2025-12,266,skip_related_family,Same TN07 general special election as retained 695312.
903723,Politics,704810,Will Ciucu win by 3-6%?,2026-01,2025-12,276,skip_related_family,Same Bucharest mayoral election as retained 799377 and others.
903723,Politics,1245519,Will Partido Popular win 31-33 seats in the 2026 Aragon regional election?,2026-01,2026-02,202,skip_related_family,Aragon legislative election already retained as 1228027.
903723,Politics,1271816,Will Palang Pracharath Party (PPRP) finish in third place by number of seats in the 2026 Thai legislative election?,2026-01,2026-02,214,scope_eligible_timing_pending,"Full saved rules reviewed: public electoral contest. Actual date, final poll close and candidate participation remain unverified."
701702,Politics,1864344,Will Iain Black win the 2026 Conservative Party of British Columbia leadership election?,2026-05,2026-05,210,skip_scope,Internal party leadership election; public electoral contests only.
701702,Politics,969727,Will Jamie Davis Jr. be the Democratic nominee for Senate in Louisiana?,2026-05,2026-05,222,scope_eligible_timing_pending,"Full saved rules reviewed: public electoral contest. Actual date, final poll close and candidate participation remain unverified."
